TICKER,STD,BETA,SHARPE RATIO,TREYNOR RATIO
ABCB4.SA,0.017951069227059628,0.8300060940810586,0.37849072099829884,0.8185859336325113
AGRO3.SA,0.01841014305673453,0.6811031007291003,-0.004648975513046735,-0.012566130468474808
ARML3.SA,0.03463478186129467,1.6642229283410017,-0.561781162603721,-1.1691443309196847
ASAI3.SA,0.02514997186123773,0.9667416556814434,-0.555362182511608,-1.4447854999190162
AZZA3.SA,0.02423474888107676,1.3082806099156408,-0.5239055618109948,-0.970489024423254
BBAS3.SA,0.016086096307994426,0.9003591927732206,0.7927940514410345,1.4164304164657693
BBDC4.SA,0.018754496193117757,1.0178430908043377,-0.3282243473424264,-0.6047771339546693
BBSE3.SA,0.012947512167418691,0.4068959312862259,0.8422520225651852,2.6800632475542505
BLAU3.SA,0.026472344028314575,0.960505379465792,-0.6410261259708663,-1.766722446393425
BMEB4.SA,0.023962113120207067,0.2289345436338517,1.3315017543518208,13.93655808821973
BMGB4.SA,0.023050828703576134,0.7627527948277951,0.466383381264602,1.4094374356441526
BPAC11.SA,0.02232411033708709,1.4258479877990895,0.46929202718953666,0.7347576379068185
BPAN4.SA,0.026763958803716608,1.4511663360268985,-0.19370709881155776,-0.3572553113913951
BRFS3.SA,0.03331960989438109,1.3762572768786288,0.10338677365652045,0.25030254330693236
BRSR6.SA,0.01738909956292266,0.7812259079736819,0.20329288372750504,0.4525042192648756
CAML3.SA,0.025516477187058507,0.8890338747379982,-0.32292474627725093,-0.9268377905114653
CCRO3.SA,0.017357879140910484,0.9740971086138976,-0.13198202794318384,-0.23518477465454724
CEAB3.SA,0.04312744650826298,1.738209423952781,0.541971334881811,1.3447079179316515
CMIG4.SA,0.018311484373800202,0.8988242244591398,0.8610451971260805,1.7541823243357304
COCE5.SA,0.0201524061449138,0.3829551634465078,-0.9338872360320002,-4.9144329860163065
CPFE3.SA,0.015163873435783555,0.6655941061009896,0.2619573190741177,0.5968033063403331
CPLE6.SA,0.01697327981890067,0.7160157694249168,0.4657570003102972,1.1040851656420765
CSED3.SA,0.03386674806597873,1.286150163944051,-0.3005218065035381,-0.7913303278660451
CSMG3.SA,0.020587448778024677,0.7218976316733052,0.8878812832534133,2.5321056113699405
CYRE3.SA,0.025640632673392536,1.4876596369227877,0.345806062584193,0.5960157825679908
DESK3.SA,0.03476941588895166,1.2871716507180155,-0.04279462295966934,-0.1155979501774772
DIRR3.SA,0.025137123576876433,1.3308031563621494,0.8675598603044483,1.6387066197246085
DXCO3.SA,0.027185495162316414,1.4801559602426386,-0.42989928630676133,-0.7895806443437158
ECOR3.SA,0.027538046904162033,1.5341998894243574,-0.055341727652179394,-0.09933536707624806
EMBR3.SA,0.02542130149402935,0.6210290439342805,0.6234272258160096,2.551946905196953
ENGI11.SA,0.016447360908134097,0.7553315373667616,-0.12264292364018436,-0.2670552370911248
EVEN3.SA,0.027650414431145322,1.3690234930726193,0.024864140631356217,0.05021855332725183
EZTC3.SA,0.02784204322472165,1.4689142122634051,-0.17350372812125048,-0.32886183942347
FIQE3.SA,0.027007136259082205,0.9697541421509589,-0.3079381705379372,-0.8575914007074127
FLRY3.SA,0.019432522422184535,0.8739953235932076,-0.24439032082715512,-0.5433805263069112
FRAS3.SA,0.018696031105857637,0.7867116823189151,0.40361818398071403,0.9591897886085027
GGBR4.SA,0.020439641290420432,0.976006870973392,-0.01780728094068718,-0.037292200045926614
GGPS3.SA,0.02008980793802107,0.9853911833893594,0.02617210615498076,0.05335876704097782
GMAT3.SA,0.02620893433269945,1.281018084861829,0.14757658048150063,0.30193366921132647
GOAU4.SA,0.01920180285038125,0.9759020779148858,0.08967741888662503,0.17644886270466711
GUAR3.SA,0.039617716207479683,1.9455696610315842,0.08014851263594606,0.16320675078675392
HYPE3.SA,0.01961844211258555,0.8524126017514109,-0.40417574373058185,-0.9302183491184536
IRBR3.SA,0.04028701784731586,1.155257449683045,-0.3376475555143017,-1.1774702771957275
ITUB4.SA,0.014440981028630033,0.907946211092537,0.5827920710488008,0.9269369857851613
JBSS3.SA,0.020053185327379264,0.6357961917709088,-0.028728891583437843,-0.09061170774996541
JSLG3.SA,0.027806392929765427,1.232653580332062,-0.00907612661885257,-0.020474068876361138
LEVE3.SA,0.023064229294666515,0.7810292338927011,0.14911672258648706,0.4403500063963554
MDIA3.SA,0.02425690901389968,0.7111157395388794,-0.027666637045463887,-0.09437382133709774
MDNE3.SA,0.02796896368939315,1.3236007592341617,0.8004625161949633,1.6914546848047303
MGLU3.SA,0.04654994616849195,2.2343981237268116,-0.6847552823452865,-1.4265730530867928
MILS3.SA,0.02732373300483605,1.2359142304218314,0.4554182071121218,1.0068437752695476
MTRE3.SA,0.03342430142795692,1.4725563387829013,-0.18472520964220351,-0.4192920111652055
MYPK3.SA,0.02332380654790161,0.7705770441961369,-0.2126154663193384,-0.6435439574633773
NEOE3.SA,0.015567713082013055,0.6063643910886712,0.21360272155097,0.5484005874210963
PETR4.SA,0.021335602030520363,1.0553091160434445,1.0210298739908878,2.064256502816482
PFRM3.SA,0.02422033001010741,0.7409513290967158,0.19223745690578023,0.6283887299639417
PGMN3.SA,0.0296228883003622,1.3906469554922791,-0.6568149901468104,-1.399115498745324
PLPL3.SA,0.03468089279689176,1.3152431907165307,1.0619378207613963,2.800162888410531
PNVL3.SA,0.02129254665999839,0.9512799932539651,-0.3668874693497194,-0.821206018784845
POMO4.SA,0.024268037129778132,0.7751316922142087,1.130335309228224,3.5388850086998103
