TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
CTKA3;21,89;;2,01;-1,63;0,21;45,77;11,22;9,66;1,73;7,02;5,30;;0,19;0,77;-0,69;1,66;-81,23;10,55;19,39;-0,13;1,13;1,09;16,10;;2.303,80;-13,41;10,89;0,03;134.538.140,06
CTKA4;21,50;;1,97;-1,60;0,21;45,77;11,22;9,66;1,70;7,02;5,30;;0,19;0,75;-0,68;1,66;-81,23;10,55;19,39;-0,13;1,13;1,09;16,10;;10.396,25;-13,41;10,89;0,03;134.538.140,06
CTNM3;7,13;;-0,33;-1,37;0,08;-2,41;-86,26;-80,92;-0,31;-1,87;-1,71;;0,27;-0,23;-0,10;0,46;-414,68;-22,72;-66,01;-0,05;1,09;0,28;-3,61;;0,00;-5,20;-21,55;0,00;113.580.609,02
CTNM4;0,86;;-0,04;-0,17;0,01;-2,41;-86,26;-80,92;-0,04;-1,87;-1,71;;0,03;-0,03;-0,01;0,46;-414,68;-22,72;-66,01;-0,05;1,09;0,28;-3,61;;0,00;-5,20;-21,55;0,00;113.580.609,02
CTSA3;1,92;;-1,09;0,23;0,08;-22,39;-15,56;-45,69;-3,19;-13,70;-10,51;0,76;0,50;1,04;-0,12;1,37;-21,36;-7,79;-4,49;0,36;0,64;0,17;-0,42;;2.081,55;8,28;-1,77;-0,03;53.423.579,52
CTSA4;1,08;;-0,61;0,13;0,05;-22,39;-15,56;-45,69;-1,79;-13,70;-10,51;0,76;0,28;0,58;-0,07;1,37;-21,36;-7,79;-4,49;0,36;0,64;0,17;-0,42;;4.880,20;8,28;-1,77;-0,01;53.423.579,52
CTSA8;0,00;;0,00;0,00;0,00;-22,39;-15,56;-45,69;0,00;-13,70;-10,51;0,76;0,00;0,00;0,00;1,37;-21,36;-7,79;-4,49;0,36;0,64;0,17;-0,42;;;8,28;-1,77;0,00;53.423.579,52
CURY3;22,11;7,54;10,01;5,95;1,63;38,41;20,96;17,40;8,32;7,90;-0,42;-0,30;1,74;4,49;-4,86;2,21;59,44;16,28;29,63;0,27;0,69;0,94;25,68;37,52;49.579.001,45;3,71;2,21;0,18;6.456.276.946,56
CVCB3;2,25;;-10,19;2,04;0,30;85,24;4,53;-7,58;17,06;20,64;3,65;0,44;0,77;-5,32;-0,72;0,91;-20,02;-2,96;3,25;0,15;0,85;0,39;-3,28;;44.947.793,85;1,11;-0,22;0,13;1.182.579.968,25
CXSE3;14,14;7,63;12,05;3,35;3,10;;;;10,74;10,53;-0,22;-0,07;;104,71;-3,45;1,40;27,76;25,71;26,86;0,93;0,07;0,00;;18,97;48.239.486,15;4,23;1,17;-5,14;42.510.000.000,00
